"flat";"down";"up"
"2357";2;3;4
"236";2;3;4
"238";2;5;2
"2383";2;4;2
"24.7";2;3;2
"2408";2;3;2
"2412";2;4;5
"2464";2;4;2
"2498";2;4;3
"25.98";2;3;2
"250";2;3;9
"2511";2;4;2
"254";2;3;2
"26.01";2;3;2
"26.7";2;5;2
"2618";2;4;2
"262";2;3;2
"2633";2;4;2
"2634";2;3;2
"265";2;4;2
"270";2;3;2
"28.30";2;3;2
"28.73";2;4;2
"280";2;4;3
"285";2;3;2
"287";2;3;2
"2881";2;4;3
"2882";2;8;3
"292";2;4;2
"297";2;3;2
"3.0";2;3;2
"3.05";2;6;2
"3.2";2;3;2
"3.3";2;4;2
"3.5";2;4;11
"3.57";2;3;2
"3.64";2;8;2
"3.71";2;4;2
"3.77";2;4;2
"30.04";2;4;2
"30.6";2;4;2
"3010";2;4;2
"3017";2;4;2
"3034";2;3;2
"3093";2;4;2
"31.13";2;3;2
"31.69";2;3;2
"312";2;3;2
"3131";2;5;2
"3189";2;3;2
"32";2;9;6
"32.7";2;4;2
"3200";2;3;3
"326";2;3;3
"3265";2;4;2
"329.86";2;3;2
"33";2;5;2
"33.3";2;3;2
"336";2;3;2
"34.56";2;3;2
"3413";2;4;2
"3443";2;10;2
"346.5";2;3;2
"3481";2;4;8
"3498";2;4;2
"35";2;7;2
"35.97";2;4;2
"350";2;3;3
"3514";2;3;2
"3529";2;5;3
"3561";2;3;2
"36.5";2;3;2
"362";2;3;4
"3661";2;4;2
"3680";2;4;4
"369";2;3;3
"3693";2;4;2
"374.08";2;4;2
"376";2;4;2
"38.5";2;3;2
"38.8";2;3;3
"39";2;3;4
"39.3";2;3;2
"39.9";2;4;2
"3900";2;4;2
"393";2;3;2
"4.0";2;3;2
"4.03";2;3;2
"4.1";2;3;2
"4.17";2;4;2
"4.3";2;5;2
"4.51";2;4;2
"4.6";2;6;2
"4.8";2;4;3
"4.98";2;4;2
"40";2;5;6
"400.5";2;3;2
"402";2;3;2
"4174";2;4;2
"419";2;3;2
"43";2;4;2
"44";2;3;4
"45";2;5;7
"45.41";2;3;2
"45.6";2;4;2
"46";2;4;6
"47.30";2;3;2
"47.5";2;3;3
"477";2;3;2
"48.27";2;4;2
"48.5";2;3;4
"49.80";2;4;2
"4904";2;4;2
"4922";2;4;2
"4930";2;4;2
"4934";2;3;2
"4969";2;4;2
"4990";2;4;2
"5.07";2;3;2
"5.78";2;3;2
"50";2;9;13
"51";2;4;7
"524.23";2;4;2
"5245";2;4;2
"525";2;3;2
"5269";2;4;2
"5274";2;3;2
"53";2;3;2
"531";2;4;2
"5347";2;7;5
"5351";2;4;3
"5388";2;3;2
"5536";2;3;2
"556";2;4;2
"562";2;3;2
"571";2;3;2
"5754.65";2;3;2
"578";2;3;2
"58";2;5;4
"58.88";2;3;2
"583.85";2;3;2
"595";2;3;2
"6.1";2;3;2
"6.4";2;4;4
"6.44";2;4;4
"6.95";2;3;2
"60";2;8;8
"608.6";2;4;2
"61";2;6;2
"612";2;4;2
"617";2;3;2
"619";2;4;2
"6202";2;4;3
"6244";2;5;2
"626.5";2;4;4
"6269";2;3;2
"6282";2;3;2
"6286";2;3;2
"629";2;6;2
"63.48";2;4;2
"634.28";2;3;2
"638";2;4;2
"64";2;6;2
"6443";2;3;2
"65";2;4;3
"650";2;4;2
"650.7";2;3;2
"6510";2;4;2
"655";2;3;2
"660";2;4;2
"663";2;4;3
"67";2;3;2
"67.29";2;3;2
"675";2;3;2
"68.21";2;3;2
"69.93";2;4;2
"7.49";2;3;2
"7.66";2;4;2
"7.8";2;3;2
"70";2;3;5
"70.2";2;4;2
"701";2;3;2
"706.81";2;3;2
"707";2;4;2
"719.68";2;3;2
"7203.07";2;4;2
"724";2;3;2
"74.5";2;3;2
"75";2;3;3
"750";2;3;3
"756.7";2;3;2
"758";2;3;2
"76";2;4;2
"7719.63";2;3;2
"7786.92";2;3;2
"7800";2;4;2
"7812.23";2;3;2
"79";2;4;2
"7980.59";2;3;2
"7986.56";2;3;2
"8.23";2;3;2
"8.25";2;4;2
"8.4";2;4;2
"8.5";2;3;2
"80";2;6;5
"8000";2;6;6
"802";2;4;2
"802.11";2;4;2
"804";2;3;2
"8081";2;3;2
"809.5";2;3;2
"8091";2;3;3
"810";2;3;2
"811";2;3;2
"8115.89";2;3;2
"817.43";2;4;2
"8193.42";2;3;2
"82";2;3;2
"8200";2;3;2
"8213.42";2;3;2
"8226.07";2;3;2
"8259.99";2;3;2
"8283.38";2;3;2
"8285.43";2;3;2
"8286";2;3;2
"8286.84";2;3;2
"8300";2;10;4
"8307.04";2;3;2
"8315.7";2;3;2
"8335";2;3;2
"8335.67";2;3;2
"8365.92";2;3;2
"8393";2;3;2
"84";2;4;3
"842";2;3;2
"85";2;4;6
"8500";2;4;4
"8529.54";2;3;2
"8600";2;5;3
"8690";2;3;2
"8691";2;3;2
"87";2;6;4
"8700";2;3;2
"871";2;3;2
"871.2";2;5;4
"8745";2;3;2
"88";2;4;5
"8800";2;3;3
"8870";2;3;2
"89";2;3;3
"891";2;3;2
"8919";2;3;2
"9.2";2;6;2
